title,content,source,credible
"Scientists Discover New Exoplanet","Researchers at NASA have confirmed the discovery of a new exoplanet using advanced telescopic technology. The planet, located 100 light-years away, shows potential signs of atmospheric conditions.","reuters",1
"SHOCKING: Aliens Found on Earth!","You won't believe what happened next! Click here to see the unbelievable truth! Doctors hate this one weird trick!","unknown",0
"Economic Growth Continues in Q3","The economy showed steady growth in the third quarter, with GDP increasing by 2.1% according to government statistics released today.","bbc",1
"BREAKING: Celebrity Secret EXPOSED!!!","This AMAZING secret will change your life FOREVER! You won't believe what celebrities don't want you to know!","gossipnews",0
"Climate Change Report Released","The latest IPCC report highlights the urgent need for climate action, with global temperatures rising faster than previously predicted.","guardian",1
"Miracle Cure Doctors Don't Want You to Know","This one simple trick will cure everything! Big pharma hates it! Click now before it's banned!","healthscam",0
"New COVID Variant Detected","Health officials have identified a new COVID-19 variant with increased transmissibility but similar severity to previous strains.","cnn",1
"URGENT: Stock Market CRASH Coming!!!","Insider reveals SHOCKING truth about market manipulation! Get rich quick with this secret method!","financescam",0
"Research Shows Benefits of Exercise","A comprehensive study involving 10,000 participants demonstrates the long-term health benefits of regular physical activity.","nytimes",1
"You Won't Believe This Crazy Story","This story will blow your mind! What happens next is absolutely incredible! Share before it's deleted!","viralstory",0